jobtitle,experience_level,skill_count,employability_score,readiness_level
Walkin Data Entry Operator (night Shift),Fresher,1,1,Low
Work Based Onhome Based Part Time.,Fresher,1,1,Low
Pl/sql Developer - SQL,3-5 Years,1,3,Medium
Manager/ad/partner - Indirect Tax - CA,0-2 Years,1,2,Low
JAVA Technical Lead (6-8 yrs) -,5+ Years,1,4,Medium
WALK IN - As400 Developer - Pfsweb Global Services (bangalore),0-2 Years,1,2,Low
PHP Developer,0-2 Years,1,2,Low
Member Technical Staff-wire Harness/cable Harness/technicians,0-2 Years,1,2,Low
Team Leader,0-2 Years,1,2,Low
German Translator,0-2 Years,1,2,Low
Business Development Manager,0-2 Years,1,2,Low
Opening for Android Developer-bangalore-4-8 yrs,3-5 Years,1,3,Medium
Full Stack Web Application (php) Developer,0-2 Years,1,2,Low
Looking for an Application Engineer-fpga,3-5 Years,1,3,Medium
Revenue Assurance,0-2 Years,1,2,Low
Senior Java Full Stack Developer - Java/ Spring 4,3-5 Years,1,3,Medium
Data Entry Executive,0-2 Years,1,2,Low
PHP Developer_banashankari II Stage,0-2 Years,1,2,Low
Bluetooth Host Software Development Engineer - Automotive Infotainment,Fresher,1,1,Low
E-commerce Executive,Fresher,1,1,Low
Analytics,0-2 Years,1,2,Low
Java Developer - Spring/mvc/hibernate,Fresher,1,1,Low
Design Engineer,3-5 Years,1,3,Medium
Sr iOS Developer - Objective C / Cocoa,Fresher,1,1,Low
Hadoop Architect - Mapreduce/hive,Fresher,1,1,Low
Senior Equity Strategy - Asian Market - Cfa/iim/mdi/isb/fms,3-5 Years,1,3,Medium
"Urgent Opening -rm-banglore, Vijayawada, Srikakulam, Chitoor",0-2 Years,1,2,Low
Telesales Executive,Fresher,1,1,Low
"Senio QA with a Product Based Startup, Bangalore",3-5 Years,1,3,Medium
Duty Manager,3-5 Years,1,3,Medium
Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad,3-5 Years,1,3,Medium
Good Opportunity for Oracle DBA - Bangalore Location,Fresher,1,1,Low
HR Managers in Demand in Canada & Australia,Fresher,1,1,Low
Call Quality,0-2 Years,1,2,Low
Assistant/ Deputy Manager Purchase,Fresher,1,1,Low
IBM Mobile First Developer,3-5 Years,1,3,Medium
WLAN Device Driver Development Engineer - Linux,3-5 Years,1,3,Medium
Senior Developer-bi,3-5 Years,1,3,Medium
Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,Fresher,1,1,Low
Senior Developer (retail POS Development),3-5 Years,1,3,Medium
Javascript Developer -oojs/angular/node/react - Html/css,0-2 Years,1,2,Low
Devops Engineer,3-5 Years,1,3,Medium
Developer - SQL Bi/cosmos/sql Azure,0-2 Years,1,2,Low
Bluetooth Stack Test Engineer - Testing & Verification,Fresher,1,1,Low
Sharepoint Technical Lead / Architect,0-2 Years,1,2,Low
Trainee/intern,Fresher,1,1,Low
SFDC Developers,Fresher,1,1,Low
Architect-salarpuria Sattva,3-5 Years,1,3,Medium
Full Stack Software Engineer - Angularjs/ruby on Rails,3-5 Years,1,3,Medium
Preferred Relationship Manager,3-5 Years,1,3,Medium
Gym Instructor,0-2 Years,1,2,Low
VP - Program/project/product Management - Ecommerce - Iit/iim/fms,Fresher,1,1,Low
"Technical Lead C#, .net, WCF, Winforms, WPF",3-5 Years,1,3,Medium
JAVA GWT,0-2 Years,1,2,Low
Java Developers,0-2 Years,1,2,Low
Wealth Planning Offices - Direct Sales - Life Insurance,0-2 Years,1,2,Low
Senior Manager/deputy General Manager- Digital Marketing,Fresher,1,1,Low
Dot Net Developer - ( Bangalore - Whitefield),3-5 Years,1,3,Medium
Manager Business Analytics,0-2 Years,1,2,Low
Arts Fresher,Fresher,1,1,Low
Legal Manager,0-2 Years,1,2,Low
Need Technicians,Fresher,1,1,Low
Product Manager,3-5 Years,1,3,Medium
R2R Operations Manager/bangalore - Upto 17 L,Fresher,1,1,Low
Opening for Hadoop Developers-product Development Client,3-5 Years,1,3,Medium
"Immediate Opening for Sr VC++ , C++ Professionals at AFL",3-5 Years,1,3,Medium
Content Writer & Editor,Fresher,1,1,Low
Investment Analyst | Construction Finance Industry,3-5 Years,1,3,Medium
Opening for Ruby on Rails Development with Telecom Company,3-5 Years,1,3,Medium
Customer Support Associate/executive/cashier in a Retail Industry,Fresher,1,1,Low
Teradata Developer,3-5 Years,1,3,Medium
Process Engineer(refinery),Fresher,1,1,Low
Senior Web Developer,3-5 Years,1,3,Medium
Big Fix Administrator - Tivoli/ Unix,3-5 Years,1,3,Medium
Chemical Engineer,Fresher,1,1,Low
SOW Coordinator,0-2 Years,1,2,Low
Full Stack Enginner,0-2 Years,1,2,Low
Immediate Openings for bpo Non/ Voice Process..call Sourabh,Fresher,1,1,Low
Urgent Openings Bangalore - IT Recruiter,3-5 Years,1,3,Medium
UI UX Designer,3-5 Years,1,3,Medium
NET Programmer,0-2 Years,1,2,Low
Government Jobs for Freshers in India,Fresher,1,1,Low
Deputy Manager - Indirect Taxation | Confidential,0-2 Years,1,2,Low
Software Jobs for Freshers,Fresher,1,1,Low
HR Coordinator,0-2 Years,1,2,Low
.Net MVC - Senior Developer @ Shoppyzip.com - Bangalore,0-2 Years,1,2,Low
Assistant Manager - PMO,3-5 Years,1,3,Medium
Technology Architect - Contractual ( PAN India ),Fresher,1,1,Low
Developer 3G,3-5 Years,1,3,Medium
Sales Executive/senior Executive/assistant Sales Manager,Fresher,1,1,Low
lead data Scientist,0-2 Years,1,2,Low
"Hr-generalist/hr Admin/, Global MNC, Conatct Hr-080-49546910",Fresher,1,1,Low
Big Data Test Engineer,Fresher,1,1,Low
SAP Basis,3-5 Years,1,3,Medium
Associate Recruiter,3-5 Years,1,3,Medium
"Exciting Opportunity for Lead Cakephp Developer for Carmatec,bangalore",3-5 Years,1,3,Medium
Technical Services Engineer,3-5 Years,1,3,Medium
Product Specialist With a Telecom Product Based org in Bangalore,0-2 Years,1,2,Low
Exciting Career Opportunity for RTL Design Engineers | Bangalore,3-5 Years,1,3,Medium
Big Data Hadoop Developer,3-5 Years,1,3,Medium
"Assistant Manager,hr-generalist ,Top Retail Firm,7411909767,9686288924",0-2 Years,1,2,Low
"HR Operation Lead"" - Bangalore",3-5 Years,1,3,Medium
Front end Recruiter,3-5 Years,1,3,Medium
Medical Coding- Join Today For A Better Tomorrow- Whatsapp@ 9789004777,Fresher,1,1,Low
Immediate Job Opening for IT Recruiter(hcl Technologies),Fresher,1,1,Low
Biztalk Developer,0-2 Years,1,2,Low
IT Software Engineer Jobs for Freshers in India,Fresher,1,1,Low
Marketing Manager - Gastro,Fresher,1,1,Low
Robotics Trainer for Schools in Bangalore,Fresher,1,1,Low
"Commis I, Commis II, Commis III, Tandoor, Continental, Garde Manjer",0-2 Years,1,2,Low
Controller,Fresher,1,1,Low
Store Executive Required in Banglor(raja Rajeshwari Nagar & Marathall,Fresher,1,1,Low
Medical Coding Transcription- TO BE Honest YOU CAN DO Transcription,Fresher,1,1,Low
Opening for UI Designer/developer for Telecom Company,3-5 Years,1,3,Medium
Huge Requirements for International Voice.call Archana,Fresher,1,1,Low
Job Opening for HCL Technologies C Developer Bangalore(16-10-2016),3-5 Years,1,3,Medium
Openings for Position of Test Engineer- Manager for Bangalore Location,Fresher,1,1,Low
Immediate Openings for bpo Non/ Voice Process..call Kavya,Fresher,1,1,Low
Software Engineer,3-5 Years,1,3,Medium
Machine Learning & NLP Expert -candidates From Premier Institutes Only,0-2 Years,1,2,Low
Marketing Executive-chennai,0-2 Years,1,2,Low
Mega Walk-in Drive - Tech M - Genesys - Pune / Bangalore - 15 Oct 16,0-2 Years,1,2,Low
Data Entry Typing work,Fresher,1,1,Low
Priorty Banking ( Banking Wealth),3-5 Years,1,3,Medium
Associate Software Engineer And Testing Jobs In Bangalore,Fresher,1,1,Low
Showroom Executives,Fresher,1,1,Low
Android Developer,Fresher,1,1,Low
Recruitment Coordinator- Bangalore,0-2 Years,1,2,Low
"BDM from Furniture, Interior Desig call Hyderabad 8904440505/0606",Fresher,1,1,Low
Lead Engineer (java) with 6+ Years Experience Required at Bangalore,0-2 Years,1,2,Low
Immediate Opening for Freshers-btech (IT Recruiter),Fresher,1,1,Low
Executive - CRM,0-2 Years,1,2,Low
Web Developer & Designer,0-2 Years,1,2,Low
Immediate Openings for Bench Sales Recruiter for Bangalor,0-2 Years,1,2,Low
Sales Executive For Construction Industry,Fresher,1,1,Low
MS SQL Database Administrator - SQL Server,3-5 Years,1,3,Medium
Wanted Delivery Boy With Valid DL and Bike or with out DL,Fresher,1,1,Low
Open Walk-in for Freshers ( Pharmacovigilance) @ Quintilesims,Fresher,1,1,Low
Was/weblogic Developer,3-5 Years,1,3,Medium
.3G Developer,3-5 Years,1,3,Medium
Sr.practitioner -finance/ AR / SAL 5 LACS !!cal 7829330187,3-5 Years,1,3,Medium
Immediate Opening for Social Media Recruiter_hcl Technologies,0-2 Years,1,2,Low
